CIN,DIN,DIRECTOR_NAME
U46048072005PTC256788,41227216,Vivek Joshi
U30926332005PTC732053,45503389,Amit Mishra
U20328072017PTC578857,20709497,Manoj Saxena
U99593192013PTC679515,84752529,Manoj Trivedi
U99593192013PTC679515,53524491,Vikram Shah
U45093272017PTC069404,28740864,Priya Mishra
U66155332023PTC941436,31472420,Rohit Joshi
U99353272008PTC927768,45351479,Vivek Tiwari
U99353272008PTC927768,33978249,Vivek Goyal
U79514292022PTC963111,20570592,Sunil Mishra
U26483072022PTC134629,36998038,Rekha Kapoor
U77839272019PTC473418,94705205,Vikram Shah
U27342192022PTC758491,66851760,Kiran Iyer
U17944272008PTC422180,43528453,Anil Iyer
U16630242008PTC683824,32097220,Nisha Sharma
U16630242008PTC683824,62401521,Anita Goyal
U65444082014PTC730430,18181586,Neha Verma
U65444082014PTC730430,16729990,Gaurav Nair
U17455242010PTC532497,87701200,Amit Joshi
U44814272012PTC415012,23419256,Anil Rao
U55745332009PTC923654,97775215,Ajay Sharma
U55745332009PTC923654,99639081,Ravi Jain
U44664072009PTC121036,45431319,Vivek Nair
U93136272007PTC444152,85283645,Rajesh Agarwal
U93136272007PTC444152,20099059,Ashok Rao
U15229332016PTC942591,30743797,Priya Saxena
U44970242012PTC166932,40547349,Manoj Sharma
U46517242015PTC906340,45059710,Mahesh Desai
U46517242015PTC906340,45630292,Amit Agarwal
U67199272015PTC635657,36445607,Shalini Reddy
U67199272015PTC635657,19391725,Pooja Joshi
U76469072014PTC324309,33357554,Naveen Jain
U47606272014PTC220393,32775593,Sunil Jain
U47606272014PTC220393,79182797,Pooja Gupta
U39444192014PTC845743,61536717,Sandeep Kapoor
U65724272008PTC229472,85017682,Neha Tiwari
U65933092021PTC870915,79967676,Sandeep Bhatt
U47450082007PTC245885,65682626,Kiran Malhotra
U37110242006PTC873350,62343121,Kiran Rao
U38906242024PTC511946,72732043,Sanjay Joshi
U83975242023PTC695206,55298556,Nisha Patel
U20735242013PTC493153,43189803,Prakash Yadav
U20735242013PTC493153,12735359,Ashok Shah
U89593292024PTC784257,60372847,Geeta Pandey
U89593292024PTC784257,36619372,Anil Desai
U49529192008PTC891598,55799273,Rajesh Saxena
U66822082008PTC379782,82232344,Arjun Iyer
U66822082008PTC379782,68461818,Gaurav Patel
U46559192007PTC924458,75437844,Vinod Chopra
U88139272013PTC735245,73900135,Sandeep Iyer
U88139272013PTC735245,12314351,Sunil Jain
U97026192014PTC609806,43742830,Manoj Agarwal
U80236272008PTC997068,47983442,Rakesh Yadav
U33519192016PTC316951,11646234,Naveen Jain
U34164082015PTC053873,85543051,Rekha Gupta
U64548072022PTC635771,86320155,Vikram Joshi
