DIN,Director_Name,CIN,Company_Name,Designation,Date_of_Appointment,Date_of_Cessation,Nationality,Gender,Synthetic_Ring_ID
8220273,Girish Agarwal,U70200KA2006PTC100706,Sai Exports Private Limited,Additional Director,24/03/2006,,Indian,Male,
8755370,Rekha Saxena,U64990TN2023PTC100210,Shakti Investments Private Limited,Additional Director,10/07/2023,,Indian,Female,
9143986,Geeta Kumar,U10610HR2021PTC100804,Vertex Developers Private Limited,Director,02/06/2021,,Indian,Female,
9282781,Payal Sharma,U63990RJ2022PTC100019,Superior Ventures Private Limited,Director,24/12/2022,,Indian,Female,RING-03
8691044,Pooja Chopra,U70200MH2014PLC100712,Vikram Textiles Limited,Director,10/07/2014,,Indian,Female,
8845659,Sachin Arora,U74999GJ2015PTC100477,Superior Technologies Private Limited,Additional Director,09/02/2016,,Indian,Male,
9601363,Neha Saxena,U41001MH2005PLC100567,Vaibhav Logistics Limited,Managing Director,20/09/2005,,Indian,Female,
9055401,Preeti Chauhan,U14101RJ2015PTC100714,Orion Investments Private Limited,Additional Director,19/11/2015,,Indian,Female,
9066734,Priya Bansal,U82990TN2007PTC100877,Sunrise Infra Private Limited,Managing Director,05/04/2007,,Indian,Female,
9290524,Sunil Malhotra,U46900HR2025PLC100635,National Technologies Limited,Additional Director,05/07/2025,,Indian,Male,
8225192,Kunal Iyer,U70200RJ2005PTC100676,Trident Constructions Private Limited,Director,10/05/2005,,Indian,Male,
8952272,Alok Desai,U10610RJ2009PTC100194,Pioneer Constructions Private Limited,Director,26/05/2009,,Indian,Male,
9628252,Bharat Agarwal,U46900MH2007PTC100601,Diamond Retail Private Limited,Director,11/07/2007,,Indian,Male,
8257189,Anil Arora,U63990RJ2023PTC100082,Capital Pharma Private Limited,Director,31/07/2023,,Indian,Male,RING-13
9603209,Ishaan Trivedi,U45201PB2011PTC100667,Shree Systems Private Limited,Independent Director,11/09/2011,,Indian,Male,
9234933,Sachin Bhatia,U70200TN2015PTC100209,Everest Distributors Private Limited,Nominee Director,19/01/2015,,Indian,Male,
8861560,Alok Khanna,U74999TG2007PTC100800,Radiant Developers Private Limited,Managing Director,26/05/2007,,Indian,Male,
8444193,Sarita Patel,U68100TN2023PTC100110,Anmol Impex Private Limited,Whole-time Director,20/06/2023,,Indian,Female,RING-16
9464994,Kiran Bhatia,U47190HR2020PTC100343,Vaibhav Logistics Private Limited,Director,07/11/2020,,Indian,Female,
8306601,Kunal Yadav,U63990TN2005PTC100198,Horizon Infra Private Limited,Director,12/08/2005,,Indian,Male,
8026456,Vijay Singh,U46310HR2018PTC100599,Anmol Technologies Private Limited,Director,25/01/2019,,Indian,Male,
9399968,Bharat Jain,U74999HR2016PTC100450,Zenith Traders Private Limited,Managing Director,29/05/2016,,Indian,Male,
9073188,Sachin Shah,U68100WB2023PLC100921,Ganesh Retail Limited,Director,15/02/2023,,Indian,Male,
9961885,Ashok Jain,U74999TN2025PLC100258,Royal Traders Limited,Nominee Director,27/02/2025,,Indian,Male,
9806577,Yogesh Rao,U10610RJ2010PTC100680,Universal Systems Private Limited,Additional Director,16/08/2010,,Indian,Male,
9839061,Ravi Shah,U10610DL2009PTC100453,Silver Foods Private Limited,Additional Director,21/05/2009,,Indian,Male,
9435223,Ashok Jain,U68100KA2024PLC100176,Diamond Finance Limited,Nominee Director,16/06/2024,,Indian,Male,
9679366,Kiran Singh,U74999MH2026PTC100938,Radiant Retail Private Limited,Nominee Director,22/04/2026,,Indian,Female,
8068018,Priya Saxena,U70200KA2006PTC100706,Sai Exports Private Limited,Director,09/03/2006,,Indian,Female,
8187142,Vishal Trivedi,U47190GJ2016PTC100575,National Infra Private Limited,Managing Director,16/05/2016,,Indian,Male,
8311570,Mahesh Malhotra,U68100GJ2015PTC100497,Capital Infra Private Limited,Nominee Director,26/09/2015,,Indian,Male,
8162207,Sunil Khanna,U74999MH2019PTC100940,Aastha Commodities Private Limited,Additional Director,14/11/2019,,Indian,Male,
9746767,Vivek Mishra,U52290GJ2005PTC100743,Diamond Traders Private Limited,Director,11/10/2005,,Indian,Male,
8386015,Satish Rao,U64990HR2020PTC100335,Vardhan Enterprises Private Limited,Managing Director,22/08/2020,,Indian,Male,
8825472,Kavita Iyer,U10610UP2014PTC100471,Vaibhav Merchants Private Limited,Managing Director,12/01/2015,,Indian,Female,
9261941,Suresh Arora,U45201MH2008PTC100785,Suvidha Retail Private Limited,Director,18/06/2008,,Indian,Male,
9637743,Rekha Chopra,U41001PB2015PTC100282,Platinum Systems Private Limited,Director,01/03/2015,,Indian,Female,
9948461,Sandeep Malhotra,U63990RJ2019PTC100013,Vantage Agro Private Limited,Director,07/10/2019,,Indian,Male,RING-02
9240175,Praveen Chauhan,U68100UP2018PTC100606,Shakti Chemicals Private Limited,Director,11/10/2018,,Indian,Male,
8440344,Rajesh Yadav,U47190TN2017PTC100336,Horizon Agro Private Limited,Whole-time Director,04/06/2017,,Indian,Male,
9858934,Manish Trivedi,U52290WB2020PTC100895,Rudra Services Private Limited,Managing Director,23/04/2020,,Indian,Male,
9565617,Suresh Agarwal,U70200GJ2014PTC100736,Suvidha Overseas Private Limited,Director,17/05/2014,,Indian,Male,
8391787,Divya Singh,U41001MH2008PTC100739,Aastha Investments Private Limited,Additional Director,05/04/2008,,Indian,Female,
9504220,Ishaan Jain,U10610TN2013PTC100443,Prime Foods Private Limited,Managing Director,16/04/2013,,Indian,Male,
9911229,Shobha Rao,U64990UP2013PTC100300,Vardhan Overseas Private Limited,Director,19/08/2013,,Indian,Female,
9702236,Seema Joshi,U62011TN2009PLC100512,Everest Trading Limited,Nominee Director,17/06/2009,,Indian,Female,
8306601,Kunal Yadav,U14101GJ2020PTC100988,Shakti Systems Private Limited,Whole-time Director,10/01/2020,,Indian,Male,
8513684,Amit Bansal,U10610UP2013PTC100696,Ganesh Overseas Private Limited,Director,11/10/2013,,Indian,Male,
8808372,Amit Iyer,U68100KA2024PLC100176,Diamond Finance Limited,Whole-time Director,10/08/2024,,Indian,Male,
8729774,Vishal Patel,U62011MH2021PTC100954,Meridian Agro Private Limited,Director,14/07/2021,,Indian,Male,
8593902,Sarita Khanna,U46310WB2013PTC100415,Global Technologies Private Limited,Director,11/12/2013,,Indian,Female,
8017348,Rahul Bhatia,U82990TG2006PTC100684,Elite Services Private Limited,Nominee Director,18/08/2006,,Indian,Male,
9175567,Naresh Reddy,U82990TN2022PTC100189,Shree Trading Private Limited,Managing Director,18/01/2022,,Indian,Male,
9019834,Kunal Patel,U14101MH2015PTC100349,Aastha Industries Private Limited,Managing Director,03/09/2015,,Indian,Male,
8542449,Sanjay Goyal,U68100PB2008PLC100304,Vertex Retail Limited,Director,22/03/2008,,Indian,Male,
9598581,Rahul Patel,U14101TN2013PLC100837,Pioneer Impex Limited,Director,18/07/2013,,Indian,Male,
9674409,Manish Jain,U82990MH2020PTC100878,Skyline Retail Private Limited,Managing Director,19/09/2020,,Indian,Male,
8639401,Girish Mishra,U52290GJ2007PTC100639,Vertex Industries Private Limited,Managing Director,01/08/2007,,Indian,Male,
9280354,Vishal Khanna,U82990TN2007PTC100877,Sunrise Infra Private Limited,Director,05/04/2007,,Indian,Male,
8416210,Vinod Gupta,U14101TG2022PTC100330,Universal Technologies Private Limited,Director,01/06/2022,,Indian,Male,
9598562,Ramesh Chauhan,U74999WB2010PTC100290,Nova Realty Private Limited,Director,27/06/2010,,Indian,Male,
8050187,Anil Mehta,U10610TN2008PTC100391,National Logistics Private Limited,Director,08/06/2008,,Indian,Male,
9850703,Ashok Kumar,U46310HR2015PTC100742,Vinayak Merchants Private Limited,Director,02/08/2015,,Indian,Male,
9034433,Sanjay Reddy,U74999UP2024PTC100720,Sunrise Textiles Private Limited,Director,18/10/2024,,Indian,Male,
8248410,Dinesh Chopra,U62011MH2019PTC100045,Apex Chemicals Private Limited,Director,03/01/2019,,Indian,Male,RING-06
8887885,Dinesh Dubey,U62011TG2014PLC100790,Vishal Chemicals Limited,Nominee Director,14/05/2014,,Indian,Male,
9452841,Deepak Chauhan,U68100GJ2020PTC100098,Anmol Finance Private Limited,Director,27/12/2020,,Indian,Male,RING-15
8732534,Satish Tiwari,U62011PB2010PTC100908,Everest Trading Private Limited,Managing Director,28/08/2010,,Indian,Male,
9245130,Alok Dubey,U41001MH2021PTC100090,Lakshmi Finance Private Limited,Nominee Director,15/10/2021,,Indian,Male,RING-14
9078462,Deepak Mishra,U46900KA2017PLC100249,Pioneer Ventures Limited,Director,18/02/2017,,Indian,Male,
8444193,Sarita Patel,U14101TN2023PTC100113,Anmol Textiles Private Limited,Director,05/06/2023,,Indian,Female,RING-16
9493589,Yogesh Bansal,U47190RJ2010PTC100171,Royal Agro Private Limited,Director,14/09/2010,,Indian,Male,
8063925,Kavita Tiwari,U46900TN2007PTC100580,Universal Services Private Limited,Director,03/11/2007,,Indian,Female,
9330980,Pradeep Mishra,U14101WB2016PTC100657,Shakti Commodities Private Limited,Director,14/06/2016,,Indian,Male,
9536201,Ashok Shah,U64990MH2006PTC100869,Everest Retail Private Limited,Director,28/04/2006,,Indian,Male,
9104283,Pradeep Khanna,U14101WB2018PTC100900,Vinayak Services Private Limited,Director,05/07/2018,,Indian,Male,
9380565,Suresh Mishra,U70200HR2022PTC100412,Vantage Constructions Private Limited,Whole-time Director,15/11/2022,,Indian,Male,
9345751,Amit Agarwal,U52290HR2024PLC100054,Infinity Exports Limited,Director,10/02/2024,,Indian,Male,RING-08
